Frequency,Channel A,Channel B
(ms),(V),(mV)

-38.83081032,0.86504720,-172.79580000
-38.81033032,0.87633900,-170.52220000
-38.78985032,0.88763080,-167.69920000
-38.76937032,0.89327680,-164.87620000
-38.74889032,0.89892270,-162.03800000
-38.72841032,0.91036710,-159.77960000
-38.70793032,0.91601310,-157.50600000
-38.68745032,0.92165900,-154.68310000
-38.66697032,0.93295090,-151.86010000
-38.64649032,0.94424270,-149.58650000
-38.62601032,0.95553450,-146.76350000
-38.60553032,0.96682640,-145.06970000
-38.58505032,0.98376420,-142.79610000
-38.56457032,0.99505600,-140.53770000
-38.54409032,1.00634800,-138.27940000
-38.52361032,1.02343800,-135.45640000
-38.50313032,1.03473000,-133.18280000
-38.48265032,1.04602200,-130.35980000
-38.46217032,1.05731400,-127.52160000
-38.44169032,1.06860600,-124.69860000
-38.42121032,1.07425200,-122.44030000
-38.40073032,1.08554300,-119.60200000
-38.38025032,1.09698800,-116.21450000
-38.35977032,1.10263400,-113.94080000
-38.33929032,1.10828000,-111.11790000
-38.31881032,1.11392600,-108.29490000
-38.29833032,1.12521700,-106.02130000
-38.27785032,1.13650900,-103.19830000
-38.25737032,1.14780100,-100.36010000
-38.23689032,1.15344700,-97.53716000
-38.21641032,1.15909300,-94.71419000
-38.19593032,1.17038500,-91.87596000
-38.17545032,1.18167700,-89.05301000
-38.15497032,1.19876700,-86.21478000
-38.13449032,1.20441300,-83.95641000
-38.11401032,1.21570500,-81.69804000
-38.09353032,1.22699700,-78.29523000
-38.07305032,1.23828900,-76.03686000
-38.05257032,1.24958000,-73.19864000
-38.03209032,1.26087200,-70.37568000
-38.01161032,1.27231700,-67.55272000
-37.99113032,1.27796300,-64.71449000
-37.97065032,1.28925400,-61.32694000
-37.95017032,1.29490000,-58.48872000
-37.92969032,1.30619200,-56.23035000
-37.90921032,1.31748400,-52.82754000
-37.88873032,1.32892800,-50.56916000
-37.86825032,1.33457400,-47.74620000
-37.84777032,1.34022000,-44.90799000
-37.82729032,1.34586600,-42.64961000
-37.80681032,1.35715800,-39.81139000
-37.78633032,1.36280400,-36.98843000
-37.76585032,1.36280400,-34.16547000
-37.74537032,1.36845000,-30.76266000
-37.72489032,1.37409600,-27.37510000
-37.70441032,1.37974200,-23.97229000
-37.68393032,1.38538800,-21.71392000
-37.66345032,1.39103400,-18.87570000
-37.64297032,1.39668000,-16.05273000
-37.62249032,1.40797100,-13.22977000
-37.60201032,1.41941600,-10.95614000
-37.58153033,1.42506200,-8.13318300
-37.56105033,1.43070800,-5.87481300
-37.54057033,1.44200000,-3.60118400
-37.52009033,1.45329100,-0.21362960
-37.49961033,1.46458300,2.60933200
-37.47913033,1.47587500,5.43229400
-37.45865033,1.48152100,9.38444100
-37.43817033,1.49281300,12.22266000
-37.41769033,1.50410500,15.04562000
-37.39721033,1.51554900,17.86859000
-37.37673033,1.52119500,20.12696000
-37.35625033,1.52684100,22.96518000
-37.33577033,1.53248700,25.78814000
-37.31529033,1.53813300,28.61110000
-37.29481033,1.54942500,30.32014000
-37.27433033,1.55507100,33.70769000
-37.25385033,1.56071700,35.40147000
-37.23337033,1.56636300,38.23969000
-37.21289033,1.57765400,41.06265000
-37.19241033,1.58909900,43.33628000
-37.17193033,1.60039100,46.15924000
-37.15145033,1.60603700,48.98220000
-37.13097033,1.61168300,52.38502000
-37.11049033,1.61732800,55.20798000
-37.09001033,1.62862000,58.04620000
-37.06953033,1.64006500,60.30457000
-37.04905033,1.64571100,63.12754000
-37.02857033,1.65135700,66.53035000
-37.00809033,1.65700200,69.35331000
-36.98761033,1.66264800,72.19153000
-36.96713033,1.67394000,74.44990000
-36.94665033,1.68523200,76.70827000
-36.92617033,1.69087800,79.54649000
-36.90569033,1.69652400,82.93404000
-36.88521033,1.70217000,85.77226000
-36.86473033,1.71346200,88.59523000
-36.84425033,1.72475400,91.43345000
-36.82377033,1.73619800,93.69182000
-36.80329033,1.74184400,95.95019000
-36.78281033,1.74749000,99.35300000
-36.76233033,1.75878200,102.17600000
-36.74185033,1.76442800,105.57880000
-36.72137033,1.77572000,108.96630000
-36.70089033,1.78136500,111.24000000
-36.68041033,1.78701100,114.06290000
-36.65993033,1.79265700,116.88590000
-36.63945033,1.79830300,120.28870000
-36.61897033,1.80959500,122.54710000
-36.59849033,1.81524100,125.94990000
-36.57801033,1.82668500,128.20830000
-36.55753033,1.83797700,130.46660000
-36.53705033,1.84926900,133.86940000
-36.51657033,1.86056100,136.69240000
-36.49609033,1.87185300,140.09520000
-36.47561033,1.88314500,142.91820000
-36.45513033,1.88879100,145.75640000
-36.43465033,1.89443600,148.01480000
-36.41417033,1.90023500,150.83770000
-36.39369033,1.90588100,153.67590000
-36.37321033,1.91152700,155.93430000
-36.35273033,1.91717300,158.19270000
-36.33225033,1.92846500,160.46630000
-36.31177033,1.93975700,162.72470000
-36.29129033,1.95104800,165.54760000
-36.27081033,1.96234000,168.38590000
-36.25033033,1.97363200,170.64420000
-36.22985033,1.97927800,173.46720000
-36.20937033,1.98492400,175.74080000
-36.18889033,1.99636800,178.56380000
-36.16841033,2.00201400,181.40200000
-36.14793033,2.00766000,184.22500000
-36.12745033,2.01895200,187.04790000
