Frequency,Channel A,Channel B
(ms),(mV),(mV)

-43.10745135,-183.41620000,-38.87143000
-43.08697135,-181.70720000,-38.64254000
-43.06649135,-180.56280000,-37.50419000
-43.04601135,-179.99820000,-36.93655000
-43.02553135,-179.43360000,-36.70766000
-43.00505135,-179.43360000,-36.70766000
-42.98457135,-178.85370000,-37.04947000
-42.96409135,-177.72450000,-36.70766000
-42.94361135,-176.58010000,-36.48183000
-42.92313135,-176.01550000,-35.79821000
-42.90265135,-176.01550000,-36.14002000
-42.88217135,-174.87100000,-36.02710000
-42.86169135,-173.16200000,-35.79821000
-42.84121135,-172.03280000,-36.14002000
-42.82073135,-170.32380000,-35.68529000
-42.80025135,-170.32380000,-35.34348000
-42.77977135,-169.17930000,-34.88876000
-42.75929135,-168.61470000,-34.88876000
-42.73881135,-167.47030000,-34.77584000
-42.71833135,-166.34110000,-34.65987000
-42.69785135,-165.76130000,-34.65987000
-42.67737135,-164.63210000,-33.97931000
-42.65689135,-164.06750000,-33.86334000
-42.63641135,-161.77860000,-33.29569000
-42.61593135,-161.21400000,-32.95389000
-42.59545135,-159.50500000,-33.18277000
-42.57497135,-158.37580000,-33.06680000
-42.55449135,-157.79590000,-32.61208000
-42.53401135,-156.08690000,-32.61208000
-42.51353135,-155.52230000,-32.38624000
-42.49305135,-154.37790000,-32.04443000
-42.47257135,-153.24870000,-32.38624000
-42.45209135,-151.53960000,-32.72805000
-42.43161135,-150.39520000,-32.49916000
-42.41113136,-149.26600000,-32.49916000
-42.39065136,-148.12160000,-32.38624000
-42.37017136,-147.55700000,-32.15735000
-42.34969136,-146.41250000,-32.15735000
-42.32921136,-144.70350000,-31.93151000
-42.30873136,-144.13890000,-32.27332000
-42.28825136,-142.99450000,-31.81555000
-42.26777136,-142.42990000,-31.47679000
-42.24729136,-141.28540000,-31.24790000
-42.22681136,-140.15630000,-31.01901000
-42.20633136,-139.01180000,-31.13498000
-42.18585136,-137.86740000,-31.13498000
-42.16537136,-137.86740000,-30.90609000
-42.14489136,-136.73820000,-30.45137000
-42.12441136,-136.15830000,-30.22248000
-42.10393136,-134.46450000,-30.10956000
-42.08345136,-133.32010000,-29.65483000
-42.06297136,-132.19090000,-29.54192000
-42.04249136,-131.04650000,-28.85830000
-42.02201136,-129.91730000,-28.74538000
-42.00153136,-128.20830000,-28.74538000
-41.98105136,-127.06380000,-28.62941000
-41.96057136,-125.91940000,-28.40357000
-41.94009136,-124.79020000,-27.94885000
-41.91961136,-123.64570000,-28.17469000
-41.89913136,-122.51650000,-28.06177000
-41.87865136,-121.37210000,-27.94885000
-41.85817136,-119.66310000,-27.37815000
-41.83769136,-118.51860000,-27.03940000
-41.81721136,-116.80960000,-26.81051000
-41.79673136,-115.68040000,-26.69759000
-41.77625136,-114.53600000,-26.46870000
-41.75577136,-113.40680000,-26.24286000
-41.73529136,-112.26230000,-26.35578000
-41.71481136,-111.11790000,-26.01398000
-41.69433136,-109.98870000,-26.01398000
-41.67385136,-108.84430000,-25.90106000
-41.65337136,-107.69980000,-25.33036000
