Time,Channel A,Channel B
(ms),(V),(V)

3.31372137,3.52931300,-5.90319500
3.33420137,3.57463300,-5.90319500
3.35468137,3.57463300,-5.90319500
3.37516137,3.57463300,-5.90319500
3.39564137,3.61980000,-5.90319500
3.41612137,3.61980000,-5.90319500
3.43660137,3.61980000,-5.90319500
3.45708137,3.61980000,-5.81286000
3.47756137,3.61980000,-5.90319500
3.49804137,3.61980000,-5.81286000
3.51852137,3.66512000,-5.81286000
3.53900137,3.66512000,-5.72283100
3.55948137,3.71028800,-5.72283100
3.57996137,3.71028800,-5.72283100
3.60044137,3.71028800,-5.72283100
3.62092137,3.75560800,-5.72283100
3.64140137,3.75560800,-5.72283100
3.66188137,3.75560800,-5.72283100
3.68236137,3.75560800,-5.63249600
3.70284137,3.75560800,-5.63249600
3.72332137,3.80092800,-5.63249600
3.74380137,3.80092800,-5.63249600
3.76428137,3.80092800,-5.63249600
3.78476137,3.80092800,-5.54246700
3.80524137,3.80092800,-5.54246700
3.82572137,3.84609500,-5.54246700
3.84620137,3.84609500,-5.54246700
3.86668137,3.84609500,-5.54246700
3.88716137,3.89141500,-5.54246700
3.90764137,3.89141500,-5.54246700
3.92812136,3.89141500,-5.54246700
3.94860136,3.89141500,-5.54246700
3.96908136,3.89141500,-5.54246700
3.98956136,3.93658300,-5.45213200
4.01004136,3.93658300,-5.45213200
4.03052136,3.93658300,-5.45213200
4.05100136,3.93658300,-5.45213200
4.07148136,3.98190300,-5.36179700
4.09196136,3.98190300,-5.36179700
4.11244136,3.98190300,-5.36179700
4.13292136,3.98190300,-5.36179700
4.15340136,3.98190300,-5.36179700
4.17388136,3.98190300,-5.36179700
4.19436136,3.98190300,-5.36179700
4.21484136,4.02707000,-5.27176700
4.23532136,4.02707000,-5.27176700
4.25580136,4.02707000,-5.27176700
4.27628136,4.07239000,-5.27176700
4.29676136,4.07239000,-5.27176700
4.31724136,4.07239000,-5.18143300
4.33772136,4.07239000,-5.27176700
4.35820136,4.07239000,-5.18143300
4.37868136,4.07239000,-5.18143300
4.39916136,4.07239000,-5.18143300
4.41964136,4.11755800,-5.18143300
4.44012136,4.11755800,-5.18143300
4.46060136,4.11755800,-5.18143300
4.48108136,4.11755800,-5.18143300
4.50156136,4.11755800,-5.18143300
4.52204136,4.16287700,-5.09109800
4.54252136,4.16287700,-5.09109800
4.56300136,4.16287700,-5.09109800
4.58348136,4.16287700,-5.09109800
4.60396136,4.16287700,-5.00106800
4.62444136,4.16287700,-5.00106800
4.64492136,4.16287700,-5.00106800
4.66540136,4.16287700,-5.00106800
4.68588136,4.16287700,-5.00106800
4.70636136,4.20819700,-5.00106800
4.72684136,4.20819700,-4.91073300
4.74732136,4.20819700,-4.91073300
4.76780136,4.16287700,-4.91073300
